COD;Agrega Valor;Horário Inicial;Horário final;TEMPO;TEMPO (MIN);TEMPO(ROT);Qtd peças conformes;Qtd peças não conformes;Observações;Data;Turno
192;N;15:20;15:50;0:30:00;30;#N/A;;;Porta lateral inferior;11/02/2020;T1
2047860;S;15:50;16:30;0:40:00;40;47;1;;Porta lateral inferior;11/02/2020;T1
192;N;16:30;16:40;0:10:00;10;#N/A;;;Setup Frontal Premium;11/02/2020;T1
2050430;S;16:40;17:00;0:20:00;20;12;1;;Frontal Premium;11/02/2020;T1
160;N;17:00;18:45;1:45:00;105;#N/A;;;;11/02/2020;T2
192;N;18:45;19:04;0:19:00;19;#N/A;;;;11/02/2020;T2
2039233;S;19:04;19:48;0:44:00;44;47;1;;Porta Lateral;11/02/2020;T2
191;N;19:48;20:30;0:42:00;42;#N/A;;;Sem peças para soldar;11/02/2020;T2
180;N;20:30;21:30;1:00:00;60;#N/A;;;tampa;11/02/2020;T2
192;N;21:30;21:49;0:19:00;19;#N/A;;;;11/02/2020;T2
2050430;S;21:49;22:08;0:19:00;19;12;1;;Frontal;11/02/2020;T2
191;N;22:08;23:40;1:32:00;92;#N/A;;;Sem peças para soldar;11/02/2020;T2
192;N;23:40;1:40;2:00:00;120;#N/A;;;;11/02/2020;T2
2039233;S;1:40;1:49;0:09:00;9;47;1;;Porta lateral;11/02/2020;T2
120;N;1:49;2:15;0:26:00;26;#N/A;;;Limpeza;11/02/2020;T2
10;N;7:00;7:15;0:15:00;15;#N/A;;;pes gabarito frontal;12/02/2020;T1
192;N;7:15;7:30;0:15:00;15;#N/A;;;Setup frontal;12/02/2020;T1
2050430;S;7:30;8:05;0:35:00;35;12;1;;Solda frontal;12/02/2020;T1
2008164;S;8:05;8:55;0:50:00;50;42;8;;Pes soldadas de um lado;12/02/2020;T1
192;N;8:55;9:00;0:05:00;5;#N/A;;;Setup frontal;12/02/2020;T1
2050430;S;9:00;9:20;0:20:00;20;12;1;;frontal soldado;12/02/2020;T1
2008164;S;9:20;9:50;0:30:00;30;42;8;;solda 2 lado barrote;12/02/2020;T1
